first_name,last_name,state,Job_Title,Salary,Tenure,Credit_Score,Age,Sex,Loan_Amount,Interest_APR,Co_Borrower
Akim,Krienke,NJ,Accounting Assistant IV,108086,13,805,21,1,465842,3.65,true
Bobbie,Treneman,MN,General Manager,424627,19,393,93,1,473761,3.4,true
Gretel,L' Estrange,KY,Senior Sales Associate,29346,13,538,18,2,132371,3.86,false
Chantalle,Murby,FL,Senior Developer,150818,1,606,78,2,402802,3.67,false
Obed,Philipeau,TX,Environmental Tech,47735,15,317,81,2,482659,3.74,false
Rodney,Reynolds,CO,Civil Engineer,190683,3,793,94,1,459546,2.73,true
Donovan,Barras,CA,Human Resources Manager,403585,20,350,43,2,292291,3.11,false
Caz,Aronov,AZ,Engineer II,382300,25,330,28,1,221989,2.59,false
Yankee,Yaldren,NC,Legal Assistant,234357,12,641,44,2,78863,2.81,false
Barnabas,MacCostigan,CA,Design Engineer,252691,10,728,73,2,242200,3.36,true
Dorothea,Loughhead,DC,Developer II,563932,15,585,74,1,193906,2.63,false
Charlie,Lief,DC,Dental Hygienist,346640,4,528,33,2,424821,2.64,false
Jamie,Camilli,MI,VP Quality Control,106713,20,705,90,1,179912,2.91,false
Terry,Ianne,SC,Systems Administrator I,171144,4,820,70,1,260093,3.24,false
Ned,Darby,CA,Media Manager II,303066,17,715,23,1,379457,3.43,false
Kerry,Switland,OK,Compensation Analyst,316835,2,675,57,1,180174,3.2,true
Cassy,Ballantyne,PA,Human Resources Manager,179962,6,639,47,2,256919,3.88,false
Mada,Fyers,TX,Technical Writer,372168,6,580,47,1,205101,2.89,false
Quintus,Sabatini,MO,Sales Associate,434043,16,755,60,2,71423,2.68,true
Janaye,Reford,TX,Programmer Analyst I,274474,15,796,49,2,211539,3.49,true
Noemi,Delgardo,IN,Librarian,271536,19,846,58,2,282319,2.82,false
Inglis,Pavlitschek,TX,Tax Accountant,123218,3,378,32,1,166219,2.88,false
Konstance,Mosen,AL,Teacher,116534,20,814,96,2,255025,3.77,false
Alair,Touhig,DC,Occupational Therapist,157575,4,817,18,1,436008,3.98,false
Kahlil,Schulze,TX,Assistant Manager,455856,22,630,34,1,457767,3.06,true
Rosette,Imlen,NV,Structural Engineer,518251,19,381,80,1,84857,2.87,false
Andie,Simonite,DC,Chief Design Engineer,401512,11,391,47,2,293600,2.91,false
Ransom,Govini,TN,Help Desk Technician,279786,3,344,36,1,109467,3.73,false
Elle,Bickley,OH,Account Representative II,281414,21,673,20,2,435123,3.24,true
Piggy,Hanmer,CA,Staff Scientist,248594,17,842,89,2,345782,2.95,true
Joella,Mattis,DC,Senior Developer,434668,5,842,29,1,426111,4.0,false
Bunnie,Scargill,FL,Staff Scientist,599412,19,586,46,2,228846,3.07,true
Ingar,Bamlett,CA,Chief Design Engineer,425129,17,847,58,1,271380,3.91,true
Lamont,Breitler,OH,Senior Cost Accountant,569694,18,321,74,2,96825,3.08,false
Eolanda,Tutton,NC,Recruiter,204252,16,329,69,1,62082,2.6,true
Brian,Chittey,OK,Financial Analyst,250159,4,501,61,2,469603,3.72,true
Theo,Maundrell,NC,General Manager,412206,1,729,78,2,425501,3.32,true
Rourke,Dobbinson,NM,Financial Advisor,28474,17,579,74,2,223821,2.86,true
Caron,Beeswing,OK,Safety Technician IV,312795,4,542,25,1,276733,3.73,false
Gibb,Rodenburgh,TX,Director of Sales,337414,12,526,31,2,238635,2.51,true
