first_name,last_name,state,job_title,salary,tenure,credit_score,age,sex,loan_amount,interest_rate,checking_savings,existing_debt
Kerrin,Thompstone,WI,Junior Executive,$31330.62,19,726,85,F,$116286.60,3.8,9297.29,$8083.40
Valida,Goffe,MO,Associate Professor,$34173.05,23,581,41,F,$365584.56,3.6,3333.93,$12537.18
Rollins,Fellon,NY,Accountant I,$55615.74,22,795,72,M,$221657.40,2.7,39.46,$55147.37
Grenville,McArte,WV,Analog Circuit Design manager,$36675.24,20,770,78,M,$216.20,2.6,8518.11,$9871.60
Micah,Yurkin,TX,Professor,$36377.32,19,360,56,M,$67730.67,3.4,5067.22,$67733.55
Nester,Janauschek,VA,Research Assistant II,$44029.23,28,629,52,M,$159204.33,3.8,-771.14,$28568.65
Zonda,Mossbee,GA,Recruiting Manager,$50331.45,11,737,74,F,$420109.03,3.4,6565.92,$69153.25
Inez,Syne,MA,Pharmacist,$49490.37,21,445,57,F,$260384.13,3.1,5002.16,$3005.57
Anatol,Wormleighton,NY,VP Marketing,$35789.72,19,352,64,M,$397311.16,3.2,775.7,$52902.25
Trixie,Sill,FL,Payment Adjustment Coordinator,$34607.13,18,356,28,F,$471791.60,3.9,3807.69,$41014.17
Gregorio,Bennet,ID,Occupational Therapist,$58727.23,5,776,32,M,$100111.58,3.9,1130.13,$3293.22
Tanney,McClements,GA,Account Executive,$26595.22,4,470,41,M,$54023.50,2.9,1171.09,$45254.46
Mikael,Seabright,TX,General Manager,$28960.66,27,703,63,M,$493880.80,2.9,2679.1,$24722.06
Allene,Van den Velden,CO,Help Desk Technician,$54181.53,3,419,55,F,$27172.93,3.7,1421.1,$24053.07
Baxy,Redmille,MN,Health Coach I,$50640.31,27,391,39,M,$456890.49,2.7,-883.5,$62139.89
Svend,Pethick,TN,Health Coach I,$55537.52,30,763,61,M,$278656.13,4.0,6777.21,$23126.62
Hyman,Moakson,MI,Electrical Engineer,$58280.62,25,470,47,M,$324670.50,3.5,7747.69,$16714.11
Fae,Baigrie,IN,Senior Financial Analyst,$36377.72,29,727,37,F,$403234.09,3.8,5600.5,$18547.97
Jaquenetta,Sustin,NE,Nuclear Power Engineer,$55502.09,18,738,35,F,$139058.33,3.8,-341.14,$15201.10
Thornton,Belton,IL,Assistant Manager,$40615.27,29,451,64,M,$3575.39,3.7,8781.65,$56037.61
Danni,Yurkin,FL,Financial Analyst,$43412.35,18,729,66,F,$351910.97,3.7,4488.88,$51999.29
Ogdan,Wardel,WI,Accountant III,$53891.98,3,631,77,M,$53019.43,3.7,6684.73,$68223.15
Justis,Hischke,FL,Software Consultant,$38602.30,13,850,69,M,$192148.04,2.6,7170.67,$54607.47
Luisa,Davidofski,GA,Product Engineer,$39902.86,17,586,64,F,$365662.74,2.8,3703.52,$68323.12
Ginger,Drew-Clifton,TX,Financial Advisor,$26958.46,9,760,75,M,$7767.76,3.8,9216.97,$18518.69
Scarface,Escalero,MA,Quality Control Specialist,$33602.68,23,806,84,M,$281388.61,2.7,6587.25,$64218.46
Brewster,Whitfeld,NY,Media Manager II,$45354.05,6,604,27,M,$408962.30,3.4,3049.05,$10781.68
Filberto,Boome,GA,VP Marketing,$57817.58,8,409,45,M,$155256.94,2.8,5439.89,$70642.01
Haskell,Stockney,TX,Structural Analysis Engineer,$35041.53,21,818,33,M,$252726.28,3.8,5763.66,$37993.93
Helyn,Cashmore,OH,Financial Advisor,$35979.77,28,734,69,F,$314597.15,3.4,7496.59,$71436.05
Tally,Mobley,KY,Environmental Tech,$50396.09,22,658,18,M,$65326.46,2.6,5946.69,$22508.12
Shannon,Bayle,MS,VP Accounting,$50912.22,10,672,70,F,$396094.78,2.9,1752.23,$52302.70
Montgomery,Hayworth,FL,Graphic Designer,$40114.86,4,587,32,M,$469363.06,2.7,7066.14,$27300.36
Christin,Binny,NC,Account Representative III,$56998.01,15,688,54,F,$251482.35,3.8,4237.59,$59938.61
Pavia,Tallman,NV,Senior Sales Associate,$54066.56,16,431,80,F,$448564.76,3.4,4539.65,$44683.13
Harry,Serrels,TX,Registered Nurse,$57706.60,23,790,71,M,$136884.51,3.0,6309.65,$51480.37
Alexis,Mongenot,AL,Registered Nurse,$48124.48,12,476,73,F,$251397.84,3.6,3104.11,$9601.90
Preston,Springer,DC,Clinical Specialist,$30082.77,19,512,44,M,$55408.24,3.8,6585.69,$46334.51
Cordy,Coole,IL,Physical Therapy Assistant,$29379.42,22,374,57,F,$153564.32,3.1,4448.56,$8736.26
Bryan,Leall,CO,Human Resources Assistant III,$57781.04,26,459,49,M,$231736.37,3.2,24.1,$4421.22
Idalia,Heady,AK,Civil Engineer,$54730.27,29,471,26,F,$345620.09,2.7,5590.95,$25251.67
Dore,Heymes,MN,Administrative Officer,$33870.79,27,425,37,M,$8056.75,3.5,5834.03,$20539.16
Kin,Huitson,MO,Environmental Tech,$52375.38,27,536,23,M,$104876.83,2.7,3415.7,$5104.20
Haven,Balk,FL,Civil Engineer,$48936.60,29,561,24,M,$452995.84,2.6,9486.26,$23084.18
Bryn,Staveley,DC,General Manager,$48572.21,10,513,29,M,$447673.66,2.8,6878.56,$70601.45
Christopher,Grigori,IL,Assistant Media Planner,$57921.41,17,406,57,M,$1295.50,3.9,1839.93,$73589.73
Christel,Dymoke,TX,Senior Quality Engineer,$28114.05,2,771,33,F,$439194.73,3.2,4343.49,$23322.55
Ania,Bockett,PA,Business Systems Development Analyst,$55181.63,3,633,68,F,$420620.60,3.2,8017.48,$4024.73
Belvia,Lermit,GA,Account Representative IV,$52538.62,7,720,26,F,$256042.60,2.6,5622.01,$8226.77
Roze,Lochead,CA,Physical Therapy Assistant,$27028.65,30,813,69,F,$203804.19,3.0,2334.56,$74693.31
Elie,Greenier,NY,Software Engineer II,$59648.80,17,677,44,F,$336200.85,3.1,8669.06,$51496.28
Kathlin,Malsher,DC,Data Coordiator,$27032.77,16,574,59,F,$298344.67,3.8,6660.31,$51101.63
Cristionna,Gercken,AR,Data Coordiator,$51776.21,27,712,58,F,$486366.77,2.8,-126.46,$70433.88
Staffard,Meeking,AZ,Product Engineer,$44340.20,25,616,75,M,$297197.48,3.0,5056.96,$43226.11
Sharona,Houchen,MO,Software Consultant,$29827.50,13,630,82,F,$206762.59,3.7,2107.41,$54484.04
Cyndie,Ingreda,MA,VP Accounting,$28205.79,24,667,81,F,$9409.39,3.8,3406.11,$6345.86
Caitrin,Kolak,TN,Graphic Designer,$28616.59,18,757,37,F,$107467.33,2.8,-336.71,$26057.81
Derron,Vanelli,NY,Software Engineer II,$33230.90,8,554,43,M,$162680.37,2.9,7963.64,$16168.49
Gabriellia,Sheeres,PA,Human Resources Manager,$27455.80,5,422,58,F,$407784.51,4.0,6230.94,$67292.50
Ninnetta,Malim,TN,Occupational Therapist,$57396.55,1,401,51,F,$384866.28,2.7,9566.27,$31890.99
Clarke,Webber,CT,Internal Auditor,$37743.61,16,366,31,M,$176910.42,3.1,2111.76,$38345.47
Evaleen,Trahear,VA,Legal Assistant,$57931.55,7,519,20,F,$39151.70,3.5,2610.27,$8742.80
Carr,Berthomier,CA,Recruiting Manager,$36506.58,19,705,19,M,$211217.14,3.6,9648.68,$40276.69
Lori,Douch,TX,Civil Engineer,$56993.46,22,835,41,F,$258845.01,3.8,7184.75,$11978.22
Druci,Feares,FL,Food Chemist,$32326.70,7,753,48,F,$51195.94,2.7,337.59,$20674.49
Winna,Risborough,OH,Librarian,$38475.61,19,384,61,F,$261817.86,3.9,5169.7,$31007.48
Barnabe,Reder,KY,Engineer I,$44310.68,20,849,75,M,$271735.35,2.6,8799.13,$48453.15
Lorrie,Oliveti,CA,Research Associate,$51298.03,8,682,28,M,$458733.55,2.9,7704.51,$60182.91
Yorgo,McHaffy,TX,Financial Advisor,$50603.72,4,595,53,M,$305323.80,3.1,5345.95,$56700.49
Morgun,Allso,MT,Sales Associate,$59786.29,30,845,73,M,$144077.05,2.8,5319.63,$53509.31
Sadella,Higgonet,OH,Health Coach IV,$47051.51,2,823,59,F,$234002.69,3.5,5983.51,$34273.85
Neddy,Whittet,CO,Help Desk Technician,$51186.52,13,839,62,M,$104991.75,3.6,8215.87,$22195.51
Shelley,McGinnis,CA,VP Product Management,$38700.08,23,488,24,M,$281436.65,3.2,8890.12,$18364.40
Clevey,Greenhaugh,NY,Food Chemist,$52075.10,11,688,30,M,$159870.43,3.7,9269.0,$1564.60
Benny,Leask,CO,Editor,$29592.29,12,471,48,F,$4388.28,3.8,1071.79,$13146.36
Milton,Moro,CA,Compensation Analyst,$47957.82,13,423,48,M,$490644.92,3.0,8143.67,$52837.21
