first_name,last_name,state,job_title,salary,tenure,credit_score,age,sex,loan_amount,interest_rate,checking_savings,existing_debt
Zachariah,Filasov,FL,Budget/Accounting Analyst III,$37138.31,14,787,70,M,$471049.84,3.8,298.35,$34126.96
Prudy,Aggs,IN,Marketing Manager,$31510.71,14,748,24,F,$267035.18,2.5,7761.01,$15146.32
Holly,Megson,LA,Senior Quality Engineer,$52158.78,9,717,74,M,$158668.63,2.5,-886.96,$47866.88
Marsh,Jandak,PA,VP Quality Control,$56137.11,11,579,56,M,$270814.76,2.7,1905.22,$34081.17
Westbrooke,Delort,FL,Product Engineer,$46404.58,7,499,74,M,$55420.65,3.8,1636.19,$11881.83
Rafaellle,Haggus,CA,Sales Associate,$48579.70,13,767,34,M,$22384.56,3.6,2364.08,$32989.55
Taber,Malkie,SC,Analyst Programmer,$28685.67,11,413,64,M,$365285.94,3.0,5473.03,$23249.88
Dukie,Fedorski,TX,Database Administrator III,$41627.75,20,785,76,M,$466214.22,2.8,3455.31,$4359.22
Chrystal,Guthrum,CA,VP Quality Control,$41990.96,5,849,19,F,$271663.96,3.6,8804.44,$26967.70
Ikey,Rippin,CA,Sales Associate,$58746.41,22,634,79,M,$73430.90,3.4,3500.19,$21063.79
Archer,Santino,NY,Senior Editor,$56360.52,16,375,41,M,$273106.15,3.1,-19.03,$42369.54
Amii,Genese,FL,Clinical Specialist,$41083.50,5,385,18,F,$94517.02,2.6,7209.66,$37208.31
Horatio,Masding,AZ,Help Desk Technician,$35930.16,30,587,72,M,$124587.33,3.3,1013.19,$56643.71
Pembroke,Pleasance,NY,Desktop Support Technician,$43814.64,15,668,67,M,$19764.45,2.8,5213.85,$29321.08
Harli,Swafield,AL,Cost Accountant,$31349.88,22,799,64,F,$101725.68,3.3,9887.51,$35255.95
Walt,Abramsky,DC,Senior Cost Accountant,$51743.56,15,773,49,M,$85687.60,3.2,1936.48,$68691.46
Georgianna,Reef,CA,Social Worker,$52513.27,23,844,35,F,$217624.14,3.3,4684.08,$25910.01
Queenie,Cookley,TX,Editor,$56723.90,10,536,80,F,$283099.53,3.5,-12.72,$54801.62
Austin,Syseland,IA,Senior Sales Associate,$32094.90,11,391,57,F,$195679.09,3.8,841.0,$57707.42
Brantley,Foxcroft,TX,Software Engineer III,$55694.47,16,415,33,M,$233500.41,3.4,6488.98,$13690.30
Killy,Stallworthy,MS,Software Engineer II,$51833.64,21,522,25,M,$208003.92,3.6,5549.47,$52797.80
Neale,Kinnie,NY,Chemical Engineer,$32350.70,21,746,29,M,$220317.44,3.6,9629.29,$5760.46
Doria,McIntosh,NH,Account Coordinator,$27144.11,13,830,60,F,$41593.24,3.9,-168.89,$22376.57
Warner,Trematick,CA,Accounting Assistant II,$36221.47,13,673,35,M,$82146.05,2.5,-410.46,$72571.04
Marvin,Pennick,CA,Physical Therapy Assistant,$38017.62,3,447,69,M,$438756.71,2.7,9779.81,$18432.21
Wain,Jagson,OK,Technical Writer,$33940.36,6,616,27,M,$174913.68,2.6,1095.42,$48142.25
Martie,Haynes,NC,Programmer I,$45284.30,23,430,69,M,$294801.03,3.6,3768.86,$70221.17
Rand,Petrakov,CA,Administrative Assistant I,$27785.36,21,848,55,M,$457327.98,3.2,9797.9,$57337.91
Imojean,Green,TX,Graphic Designer,$33706.52,14,442,72,F,$289788.31,3.0,-964.58,$59031.27
Clea,Hughland,PA,Payment Adjustment Coordinator,$30620.95,21,733,83,F,$167369.64,3.3,7106.04,$53407.99
Briana,Della,MS,VP Marketing,$37588.99,17,646,47,F,$169073.97,3.3,357.46,$13048.60
Benedicto,Bentson,NM,Quality Control Specialist,$51684.35,29,689,22,M,$133479.95,2.5,2637.37,$4045.47
Edy,Kingswood,DC,Geological Engineer,$38043.28,28,672,67,F,$113687.06,3.3,7871.55,$48645.92
Manny,Ray,MO,Senior Quality Engineer,$57813.56,18,623,27,M,$96932.93,4.0,3938.89,$43281.84
Allen,Pudden,LA,Engineer II,$42324.09,19,573,51,M,$260982.72,3.6,3273.42,$18831.89
Phyllys,Rizzo,NJ,Food Chemist,$41652.89,21,808,47,F,$251188.32,3.0,8677.02,$59998.04
Gerek,Likly,CA,Registered Nurse,$46297.60,4,837,59,M,$163573.27,3.2,5254.72,$42932.79
Kane,Boyfield,ND,Research Associate,$51046.95,1,469,29,M,$372996.29,3.8,-938.75,$42926.07
Lorette,Truscott,CO,Administrative Assistant II,$49754.61,15,648,28,F,$240108.32,3.5,1089.35,$6519.20
Pauline,Campanelli,FL,Environmental Tech,$43157.44,23,660,57,F,$24955.05,3.9,2374.37,$67480.06
Gardy,Offell,WV,Civil Engineer,$46571.58,25,413,74,M,$458718.53,3.6,3833.19,$37942.31
Israel,Fortye,VA,VP Sales,$38236.74,6,562,24,M,$171770.60,3.4,5419.9,$64756.87
Donnamarie,Filchakov,FL,Biostatistician II,$39309.10,5,507,40,F,$354685.18,2.9,9624.22,$61293.47
Zahara,Sergent,OK,Teacher,$51306.24,9,665,24,F,$23837.73,3.5,2196.48,$28519.67
Gleda,Leney,OK,Civil Engineer,$53274.29,11,409,20,F,$242902.44,2.6,5914.01,$38575.83
Davide,Latter,TX,Social Worker,$43390.00,18,394,25,M,$307077.89,2.8,4408.26,$51451.99
Ly,Flowers,VA,Help Desk Operator,$59380.60,28,647,35,M,$299952.53,2.8,5996.95,$64093.21
Andriana,Olivazzi,VA,Speech Pathologist,$34972.16,16,559,25,F,$76209.84,2.8,4430.98,$23580.73
Joelynn,Gladden,NJ,Executive Secretary,$46817.37,13,753,82,F,$132031.83,3.5,625.25,$71107.40
Clari,Eltone,NE,Environmental Tech,$32158.00,24,605,72,F,$308743.68,3.2,1955.79,$55576.55
Delinda,Morais,MN,Internal Auditor,$42665.32,14,388,61,F,$160310.90,2.8,6149.78,$1305.72
Wallace,Fleming,NM,Accounting Assistant I,$50913.25,14,651,54,M,$478640.22,2.7,5401.55,$74676.01
Bernetta,Readwood,CA,Clinical Specialist,$52481.65,2,602,28,F,$201736.33,2.6,6533.5,$33308.80
Jolie,Hendriksen,MD,Junior Executive,$40559.92,17,663,79,F,$411669.01,3.5,8287.17,$48071.50
Merrel,Kitchinghan,IA,Internal Auditor,$35301.27,7,443,76,M,$45311.19,3.3,1517.87,$8399.87
Kesley,Crapper,MA,Nurse,$36872.65,10,548,35,F,$407698.24,3.6,868.84,$11964.56
Bernelle,Royans,WV,Account Coordinator,$40837.17,14,362,71,F,$334196.56,2.8,916.66,$246.47
Culver,Claridge,AZ,Civil Engineer,$37482.81,28,422,22,M,$413366.58,3.1,1116.86,$3481.58
Nari,Ousbie,OH,Dental Hygienist,$59121.17,6,652,48,F,$472120.85,3.5,1814.57,$21343.53
Calhoun,Chasle,CA,Senior Editor,$26875.99,1,403,31,M,$253584.73,2.6,6964.37,$71441.85
Hervey,Alchin,FL,Desktop Support Technician,$47282.08,9,502,37,M,$87740.52,3.2,5790.28,$25994.73
Flossie,Beckitt,WI,Electrical Engineer,$48241.51,20,362,51,F,$109551.39,3.8,5007.84,$9775.18
Elias,Lucy,TX,Senior Editor,$47810.02,30,429,81,M,$233758.13,2.7,-753.82,$26099.73
Kata,Gobel,NY,Mechanical Systems Engineer,$48003.78,1,417,78,F,$446821.81,3.8,7843.57,$69610.49
Daisy,Poley,FL,Analyst Programmer,$58311.25,16,581,54,F,$132152.91,3.0,-477.44,$706.11
Bryant,Curro,VA,Financial Advisor,$31655.20,18,746,81,M,$221478.73,3.2,3367.5,$24636.21
Aubrey,Langstone,TX,Accounting Assistant IV,$29773.32,19,849,39,M,$3459.49,3.7,7843.53,$61567.93
Ellary,Climer,FL,Research Nurse,$46153.03,30,802,82,M,$72444.19,3.4,9773.87,$18208.72
Bradney,Fawcus,CA,Safety Technician IV,$51426.37,22,785,78,M,$336772.04,2.8,2953.59,$71057.44
Ailey,Esberger,CO,Environmental Specialist,$50954.72,4,441,21,F,$437059.91,3.1,1382.98,$19561.25
Rocky,Lammers,CA,VP Product Management,$57644.06,10,664,34,M,$56811.16,3.2,29.87,$18473.70
Renee,Caslett,KY,Engineer II,$36079.88,14,364,30,F,$294063.91,3.3,3479.54,$25999.26
Betsey,Bellworthy,MS,Research Associate,$49947.56,29,733,73,F,$161639.10,3.0,9947.42,$41310.82
Jourdain,O'Shevlin,CA,Geologist I,$38719.79,27,420,36,M,$242399.80,3.7,7376.81,$65552.47
Reidar,Lagneaux,MI,VP Marketing,$56883.79,5,531,83,M,$467234.75,2.9,1044.82,$8095.30
Archibald,Ludmann,DC,Operator,$59821.15,18,416,78,M,$38431.17,3.4,9823.39,$53177.52
Gonzalo,Connechy,NY,Nurse Practicioner,$33625.10,6,527,63,M,$377738.79,3.6,2835.52,$22390.61
Jeth,Buckby,OH,Web Developer I,$58597.57,22,698,45,M,$405570.85,3.0,7909.7,$17106.20
Carita,Rowth,NJ,Sales Associate,$28462.14,17,616,38,F,$97295.21,3.3,2823.31,$58154.49
Melodee,Whitley,TN,Environmental Specialist,$41733.14,25,429,68,F,$117895.23,3.3,855.69,$11147.67
Rosella,Roizin,KS,Senior Sales Associate,$35930.89,20,413,41,F,$290171.98,3.3,5172.25,$58340.64
